,강남11개구,강북14개구,수도권,전국,KOSPI,S&P 500
2006-06-01,46.5259755988,45.7538321801,54.6762056998,56.4848920122,1295.15,1270.199951171875
2006-07-01,46.6496203873,45.8771127772,54.8835021431,56.5920546312,1297.82,1276.6600341796875
2006-08-01,46.7446332937,46.0314276771,55.1023454676,56.7091769367,1352.74,1303.8199462890625
2006-09-01,47.0527558919,46.2827957729,55.5379293265,56.959110832,1371.41,1335.8499755859375
2006-10-01,48.2419375104,47.0695530976,57.0000071483,57.8252218102,1364.55,1377.93994140625
2006-11-01,51.3731286181,49.8023424996,60.9142424247,60.0438588843,1432.21,1400.6300048828125
2006-12-01,52.6138068328,52.6257512443,63.1254859472,61.304957852,1434.46,1418.300048828125
2007-01-01,53.176815532,54.1201594917,64.2006568956,61.9237037925,1360.23,1438.239990234375
2007-02-01,53.2286314828,54.461594342,64.507981416,62.1092545245,1417.34,1406.8199462890625
2007-03-01,53.252405955,54.6473410386,64.6174633597,62.1663315707,1452.55,1420.8599853515625
2007-04-01,53.0780544584,54.9059051074,64.6366708707,62.1625294414,1542.24,1482.3699951171875
2007-05-01,52.847664732,54.9864094141,64.5603448012,62.0969471111,1700.91,1530.6199951171875
2007-06-01,52.8083554936,55.120992393,64.632727053,62.1178621229,1743.6,1503.3499755859375
2007-07-01,52.8869882833,55.4127682502,64.8620278485,62.2205350168,1933.27,1455.27001953125
2007-08-01,52.9236943794,55.643765559,65.0407791324,62.3047506411,1873.24,1473.989990234375
2007-09-01,52.9544964414,55.8978596201,65.2156973862,62.3979314135,1946.48,1526.75
2007-10-01,52.9485941963,56.2642574919,65.4058641271,62.4974160636,2064.85,1549.3800048828125
2007-11-01,52.9246730178,56.7378051077,65.5943299541,62.5938257856,1906.0,1481.1400146484375
2007-12-01,52.87134796,57.013966751,65.6504742342,62.6189917891,1897.13,1468.3599853515625
2008-01-01,52.9357019326,57.5361072137,65.8656398483,62.7270972393,1624.68,1378.550048828125
2008-02-01,53.0018718429,58.1280833316,66.1215882956,62.8684240146,1711.62,1330.6300048828125
2008-03-01,53.243447925,59.5678521016,66.7991211894,63.254698791,1703.99,1322.699951171875
2008-04-01,53.642422058366,61.606582745211,67.837387915043,63.906517994836,1825.47,1385.5899658203125
2008-05-01,53.848878954687,62.444363569832,68.4422473765,64.279172004762,1852.02,1400.3800048828125
2008-06-01,53.944686466058,62.997238331123,68.946979892273,64.629493344919,1674.92,1280.0
2008-07-01,53.957897998031,63.30298465368,69.230373901824,64.833211643167,1594.67,1267.3800048828125
2008-08-01,53.898696829741,63.368822946572,69.287594600927,64.910714846576,1474.24,1282.8299560546875
2008-09-01,53.851581379984,63.451078973408,69.39270026358,65.049189977173,1448.06,1166.3599853515625
2008-10-01,53.583483250773,63.394638056215,69.209352043743,65.004846133963,1113.06,968.75
2008-11-01,52.929778583887,63.119695254318,68.535706736586,64.660150617542,1076.07,896.239990234375
2008-12-01,51.877567431683,62.324962099322,67.587740367486,64.098000892177,1124.47,903.25
2009-01-01,51.289464070732,61.917671968172,66.917840873518,63.668327616364,1162.11,825.8800048828125
2009-02-01,51.399099549901,61.53056173692,66.645097409585,63.476051962297,1063.03,735.0900268554688
2009-03-01,51.329013095997,61.28779548206,66.368661810309,63.324910781558,1206.26,797.8699951171875
2009-04-01,51.677218700625,61.260788797543,66.397954986333,63.354642233711,1369.36,872.8099975585938
2009-05-01,51.844488883474,61.253731155714,66.525395876567,63.444507110967,1395.89,919.1400146484375
2009-06-01,52.187854025607,61.436944328809,66.727675871971,63.588822022647,1390.07,919.3200073242188
2009-07-01,52.739644581858,61.844850919127,67.075239516724,63.803850124773,1557.29,987.47998046875
2009-08-01,53.060520180323,62.087447974537,67.32829311513,64.006601198947,1591.85,1020.6199951171875
2009-09-01,53.792332619274,62.675385326361,67.948727771073,64.521087959391,1673.14,1057.0799560546875
2009-10-01,53.973738492209,62.904303619233,68.159224063874,64.783911788522,1580.69,1036.18994140625
2009-11-01,53.94874868972,62.910829729988,68.154663197595,64.997281840688,1555.6,1095.6300048828125
2009-12-01,53.92369039462,62.908321439539,68.088298217855,65.111976978192,1682.77,1115.0999755859375
2010-01-01,54.017728476161,62.897638583778,68.073855550743,65.207695698469,1602.43,1073.8699951171875
2010-02-01,54.246228629939,62.945761006338,68.148045896814,65.458218834362,1594.58,1104.489990234375
2010-03-01,54.239885152236,62.926617230833,68.119897146306,65.653151976489,1692.85,1169.4300537109375
2010-04-01,54.181713103351,62.7675314996,67.963381446118,65.787208873398,1741.56,1186.68994140625
2010-05-01,53.955054126031,62.580336757018,67.664298097069,65.824906140185,1641.25,1089.4100341796875
2010-06-01,53.674134032434,62.192052613279,67.203252198723,65.797515111182,1698.29,1030.7099609375
2010-07-01,53.387671607889,61.872243640996,66.75728280688,65.730823265038,1759.33,1101.5999755859375
2010-08-01,53.130819933922,61.611760287989,66.429378916373,65.709572539465,1742.75,1049.3299560546875
2010-09-01,53.018619834356,61.42283948301,66.261606924605,65.812787653874,1872.81,1141.199951171875
2010-10-01,52.936112615493,61.288396353514,66.149538615575,65.995587627486,1882.95,1183.260009765625
2010-11-01,52.89284993332,61.212819477065,66.079955625475,66.354750789134,1904.63,1180.550048828125
2010-12-01,52.965973176493,61.204123218805,66.122960313265,66.757242803356,2051.0,1257.6400146484375
2011-01-01,53.090302908351,61.239337844966,66.221200426095,67.185446371029,2069.73,1286.1199951171875
